,tweet_count,rt_avg,rt_var,time_avg,time_var,tag_obama_sum,tag_criminal_sum,tag_thanks_sum,tag_america_sum,tag_china_sum,tag_money_sum,tag_president_sum,tag_democrat_sum,tag_trump_sum,tag_vote_sum,tag_jobs_sum,prior_tag_liberal_sum,prior_tag_republican_sum,prior_tag_foreign_sum,prior_tag_policy_sum,prior_tag_mexico_sum,prior_tag_china_sum,prior_tag_russia_sum,prior_tag_obama_sum,prior_tag_taxes_sum,prior_tag_media_sum,is_weekend,delta
40,3,0.0833558846239888,0.00029154694593582886,814.0,41788.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0.1467799999999997
41,4,0.051687558182329896,0.00033171838345818794,1317.75,5502.25,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,False,0.26179000000000485
42,8,0.05319996049013877,0.00012096941208224776,651.25,69753.64285714286,2,0,0,3,0,0,0,0,1,0,1,0,0,0,0,1,0,1,2,0,0,False,-0.005760000000002208
43,6,0.04775010283388539,0.0002486836964114973,825.6666666666666,289994.6666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.08679999999999666
44,4,0.0405835281764846,0.00015847121820484084,1140.25,81408.91666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.2573500000000024
45,3,0.023261205285300887,5.27503009973897e-06,859.0,4963.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.17320999999999742
46,1,0.044816630945422264,0.0,879.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,True,0.08319000000000187
47,1,0.018580459396852197,0.0,756.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True,-0.22742000000000218
48,5,0.032847307917126714,0.00021219087843159915,1046.8,73059.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,False,-0.24312000000000467
49,2,0.05016940529540387,0.0005512700862056611,936.0,2592.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,-0.5641499999999979
50,7,0.05136861850020257,0.0008505202364407657,867.5714285714286,102327.28571428572,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,False,-0.14007999999999754
51,7,0.03340516241568394,7.670116072425267e-05,914.8571428571429,309837.14285714284,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,-0.2301000000000002
52,9,0.027731773144840623,0.0001808204707092885,763.3333333333334,9497.5,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,False,-0.6523499999999984
53,2,0.05483075707388885,9.956727301038494e-06,799.0,32.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,-0.22668000000000177
54,1,0.020214976943560434,0.0,1220.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0.07903999999999911
55,7,0.046124863532475406,9.867864947928041e-05,844.7142857142857,75374.90476190476,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,False,-0.14414000000000016
56,4,0.034222034595483966,0.00013945624696361526,826.25,211348.25,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.07693000000000438
57,1,0.03544521660063649,0.0,789.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.05302999999999969
58,7,0.047397916106106004,0.00016753778487182353,597.1428571428571,272061.14285714284,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,False,-0.13147999999999627
59,4,0.039961112554393705,9.721494883902116e-05,894.75,33088.25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.007840000000001623
60,4,0.04613655798748674,0.00025787127889479453,981.0,63925.333333333336,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True,-0.06042999999999665
61,1,0.04218354224848996,0.0,741.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True,-0.27709000000000117
62,1,0.057687103548310276,0.0,64.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.2529400000000024
63,10,0.04315288692602455,0.00039198846784319855,656.9,287639.65555555554,1,0,0,1,0,2,0,1,1,0,1,0,1,0,0,0,0,4,1,0,0,False,-0.3543099999999981
64,4,0.037188656881210626,0.0002029188888659949,1049.75,138755.58333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,-0.5674600000000041
65,9,0.025322994618961363,0.00018740966379308168,1063.7777777777778,164629.94444444444,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,False,-0.15438999999999226
66,8,0.033007985863046915,8.620734942787248e-05,916.625,144593.98214285713,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,0.06725999999999743
67,8,0.03990462157130177,0.00021580835973251003,972.25,31637.071428571428,2,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,2,2,0,1,True,-0.10057000000000471
68,3,0.046316742799823916,0.00011065051639543667,791.0,409.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,-0.6006499999999946
69,8,0.05154210235760212,0.0002689071411315049,752.0,120307.42857142857,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,False,0.1674199999999999
