,tweet_count,rt_avg,rt_var,time_avg,time_var,tag_obama_sum,tag_criminal_sum,tag_thanks_sum,tag_america_sum,tag_china_sum,tag_money_sum,tag_president_sum,tag_democrat_sum,tag_trump_sum,tag_vote_sum,tag_jobs_sum,is_weekend,prev_day_approval,approve_estimate
719,6,20061.666666666668,119727662.26666665,07:33:17,163101.65066666665,0,0,0,1,0,0,0,0,0,0,0,True,40.99324,37.788509999999995
720,5,21009.6,101286442.3,09:34:10.400000,66552.58063888889,0,0,0,0,0,0,0,0,0,0,0,True,40.50577,37.88012
721,20,20392.4,55157214.88421053,10:37:30.650000,147733.67930628656,2,0,0,2,1,1,0,2,0,0,1,False,40.72627,37.8332
722,14,15240.642857142857,86165975.7857143,11:19:31.714286,241071.48924908426,0,0,0,1,0,0,1,0,0,0,0,False,40.8077,37.975590000000004
723,15,16676.933333333334,110631909.92380951,15:17:13.066667,176112.39291534395,0,0,0,1,0,0,0,1,0,0,0,False,40.18261,37.75723
724,15,15444.666666666666,68794899.09523807,16:51:17.066667,49005.25485978836,1,0,0,1,0,0,0,1,1,0,1,False,39.937940000000005,37.24255
725,4,25413.25,170028144.25,13:05:20.250000,8846.403032407408,1,0,0,0,0,0,0,0,1,0,0,False,40.00951,37.26442
726,6,22992.166666666668,32751770.96666667,14:04:03.500000,977.8706388888888,1,0,0,0,0,0,0,0,0,0,0,True,40.00951,37.26856
727,11,18174.636363636364,38202205.85454545,15:43:43.181818,244757.99665656567,0,0,0,0,0,0,1,0,0,0,0,True,40.04978,37.29323
728,15,11598.666666666666,34232016.95238095,13:53:20.466667,106686.4784074074,1,0,0,3,0,0,0,0,1,0,0,False,39.972429999999996,37.30399
729,11,12884.545454545454,24042667.672727276,11:35:25.181818,147521.45476767677,0,0,0,2,0,0,0,0,0,0,0,False,40.160709999999995,37.46911
730,13,13888.384615384615,65688356.58974359,16:24:32,66769.43092592593,1,0,0,2,2,0,1,0,0,0,0,False,39.52579,37.07568
731,8,15240.375,18389791.410714287,15:20:55.125000,45617.10193948413,0,0,0,0,0,0,0,0,2,0,0,False,39.53005,37.1561
732,4,21382.5,19184484.33333333,14:51:03.750000,114635.17821759259,0,0,0,1,0,0,0,0,0,0,0,False,39.2754,37.48936
733,5,18759.0,59160354.0,07:14:48.600000,153243.80188888888,1,0,0,0,0,0,0,0,0,1,0,True,39.2754,37.85255
734,12,22104.833333333332,270094933.24242425,16:45:35.250000,76555.15586489899,1,0,0,0,0,1,0,1,2,0,0,True,39.42558,37.86096
735,11,15343.09090909091,35815606.89090909,11:28:30.181818,228744.07704545456,0,0,0,3,0,0,0,1,0,1,0,False,39.76567,37.84346
736,7,20413.85714285714,122377044.47619049,11:48:23.285714,94148.42136243386,3,0,0,1,0,0,0,0,1,1,0,False,39.78958,37.966640000000005
737,17,16456.117647058825,40021992.23529411,14:10:30,160673.0667013889,3,0,0,2,0,0,0,3,0,1,0,False,39.51259,38.07331
738,9,13379.333333333334,66071838.25000001,18:29:22.222222,72162.00345679013,0,0,0,0,0,0,0,1,0,0,0,False,39.50443,37.986540000000005
739,9,16184.444444444445,82832269.0277778,11:18:57.333333,171271.9828472222,2,0,0,0,0,0,0,2,1,1,0,False,39.50685,38.14785
740,2,13879.0,2072648.0,13:35:46,228.26722222222222,0,0,0,0,0,0,0,0,0,0,0,True,39.5565,37.66046
741,14,12060.92857142857,30308848.22527472,10:42:47.928571,266627.65271214896,0,0,0,2,0,2,0,1,0,0,0,True,39.53487,37.628859999999996
742,13,16036.76923076923,17050985.358974356,12:18:43.461538,143131.347991453,0,0,0,4,0,0,0,2,0,0,0,False,39.78125,37.6958
743,12,12354.25,15750166.568181818,09:27:45.083333,194084.5790635522,0,0,0,1,0,0,0,0,0,0,0,False,39.93347,37.854079999999996
744,15,15086.2,27976010.17142858,14:11:46.800000,192398.62092063494,0,0,0,2,0,0,0,1,0,0,0,False,39.96864,37.7519
745,11,17897.0,101723258.6,10:04:26.636364,139342.2035707071,0,0,0,1,0,0,0,1,0,0,0,False,40.06154,37.45793
746,3,19590.0,7279411.0,13:30:17,69723.31583333333,0,0,0,0,0,0,0,0,1,0,0,False,40.2227,38.021879999999996
747,11,14883.636363636364,41910917.25454546,17:45:18.181818,62099.00654545455,0,0,1,0,0,0,0,0,1,0,0,True,40.2227,38.10051
748,12,14135.583333333334,9254007.71969697,15:36:45.333333,63460.241228956234,0,0,0,0,0,1,0,1,1,0,0,True,40.221790000000006,38.13292
749,3,15519.0,81207084.0,02:10:11.666667,103.66675925925925,0,0,0,0,0,0,0,0,0,1,0,False,40.36388,38.1001
750,10,16431.6,86256971.59999998,09:52:43,34546.780740740745,0,0,0,0,0,0,0,0,2,0,0,False,40.46846,38.81237
751,13,16364.846153846154,67342628.8076923,07:17:58.538462,243370.98688034186,0,0,0,3,0,0,0,0,0,0,0,False,41.47137,38.92259
752,4,19149.5,260926515.0,19:31:28.750000,100188.5619212963,0,0,0,1,0,0,0,0,0,0,0,False,41.50784,38.61701
753,2,43814.0,2004964488.0,06:17:05.500000,173489.95125,0,0,0,0,0,0,0,0,0,0,0,False,41.65232,38.52001
754,8,23058.25,136509577.64285713,12:26:59.375000,81422.31785218253,1,0,0,0,0,0,0,0,0,0,0,True,41.77002,38.660990000000005
755,32,12615.6875,51693160.60887097,13:26:06.156250,212321.4810593078,0,0,0,0,0,0,0,1,2,0,0,True,41.84582,38.61241
756,12,11624.25,27530083.659090903,13:13:26.583333,253042.42295244106,0,0,0,0,0,0,0,0,1,0,0,False,41.84088,38.62467
757,8,14085.375,12497585.125,17:49:31.250000,229873.62172619047,0,0,0,1,0,0,0,1,0,0,0,False,41.94509,38.82832
758,12,15697.166666666666,97851873.7878788,10:07:31.666667,194247.22632996633,1,0,0,2,0,0,0,0,0,2,0,False,42.02028,38.792159999999996
759,21,11317.809523809523,46766399.66190477,12:14:46.761905,218946.18260846558,1,0,0,1,0,0,0,1,0,3,0,False,42.45333,38.92197
760,9,32632.555555555555,401153742.7777778,15:32:35,98407.32930555556,0,0,0,0,0,0,0,0,0,0,0,False,42.69892,39.6704
761,11,31879.81818181818,140703871.16363633,17:08:00.454545,140221.51002020203,0,0,0,3,0,0,0,0,0,0,0,True,42.69892,39.59408
762,13,27101.923076923078,297896409.7435897,15:38:45.846154,93978.15388176638,4,0,0,1,0,0,0,1,0,2,0,True,42.70221,39.44529
763,11,15084.727272727272,117353654.61818182,12:54:03.545455,52494.85268686869,2,0,0,1,0,0,0,0,0,1,0,False,42.62473,39.494640000000004
